DATE_PST,STATION_NAME,RAW_VALUE,REPORTED_VALUE,INSTRUMENT,UNITS,PARAMETER,EMS_ID,LATITUDE,LONGITUDE
2020-10-06 12:00,Abbotsford A Columbia Street,0.183617,0.18,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-06 11:00,Abbotsford A Columbia Street,0.209021,0.21,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-06 10:00,Abbotsford A Columbia Street,0.221911,0.22,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-06 09:00,Abbotsford A Columbia Street,0.230314,0.23,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-06 08:00,Abbotsford A Columbia Street,0.220839,0.22,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-06 07:00,Abbotsford A Columbia Street,0.245806,0.25,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-06 06:00,Abbotsford A Columbia Street,0.240517,0.24,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-06 05:00,Abbotsford A Columbia Street,0.246801,0.25,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-06 04:00,Abbotsford A Columbia Street,0.198801,0.2,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-06 03:00,Abbotsford A Columbia Street,0.195242,0.2,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-06 02:00,Abbotsford A Columbia Street,0.202014,0.2,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-06 01:00,Abbotsford A Columbia Street,0.192957,0.19,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-06 00:00,Abbotsford A Columbia Street,0.169483,0.17,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 23:00,Abbotsford A Columbia Street,0.174029,0.17,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 22:00,Abbotsford A Columbia Street,0.1823,0.18,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 21:00,Abbotsford A Columbia Street,0.159814,0.16,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 20:00,Abbotsford A Columbia Street,0.160081,0.16,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 19:00,Abbotsford A Columbia Street,0.158437,0.16,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 18:00,Abbotsford A Columbia Street,0.152075,0.15,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 17:00,Abbotsford A Columbia Street,0.154236,0.15,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 16:00,Abbotsford A Columbia Street,0.149494,0.15,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 15:00,Abbotsford A Columbia Street,0.135032,0.14,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 14:00,Abbotsford A Columbia Street,0.132189,0.13,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 13:00,Abbotsford A Columbia Street,0.136492,0.14,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 12:00,Abbotsford A Columbia Street,0.150825,0.15,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 11:00,Abbotsford A Columbia Street,0.174752,0.17,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 10:00,Abbotsford A Columbia Street,0.179789,0.18,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 09:00,Abbotsford A Columbia Street,0.240558,0.24,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 08:00,Abbotsford A Columbia Street,0.210536,0.21,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 07:00,Abbotsford A Columbia Street,0.161846,0.16,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 06:00,Abbotsford A Columbia Street,0.155552,0.16,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 05:00,Abbotsford A Columbia Street,0.147341,0.15,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 04:00,Abbotsford A Columbia Street,0.137935,0.14,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 03:00,Abbotsford A Columbia Street,0.14076,0.14,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
2020-10-05 02:00,Abbotsford A Columbia Street,0.15939,0.16,UNSPECIFIED,ppm,CO,E289309,49.0215,-122.3266
